                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7642,                 3.7764,                 3.2424,                0.37515,                0.02971,                0.02373,                0.00844,                 2.8617,                 3.0814,                 2.7358,               0.070012,               0.003332,               0.003332
                      2,                 2.6267,                 2.8787,                 2.3637,                0.33933,                0.14575,                0.10156,                0.04004,                 2.3502,                 2.5215,                 2.2817,               0.039946,              0.0065994,              0.0065994
                      3,                 2.3483,                  2.499,                 2.1316,                 0.2357,                0.19897,                0.15658,                0.06568,                 2.2064,                 2.2284,                 2.1229,               0.009814,              0.0098007,              0.0098007
                      4,                  2.221,                   2.28,                 2.0242,                0.30918,                0.24025,                0.20087,                0.08943,                 2.0764,                 2.0036,                 2.0212,               0.009703,               0.009703,               0.009703
                      5,                 2.1279,                 2.1172,                 1.9597,                0.48659,                 0.2576,                0.23593,                0.10397,                 2.0433,                 1.9185,                  2.001,               0.009604,               0.009604,               0.009604
                      6,                 2.0758,                 2.0209,                 1.9165,                0.27855,                0.35062,                0.26668,                0.11829,                 1.9854,                 1.8715,                 1.9622,               0.009505,               0.009505,               0.009505
                      7,                 2.0333,                 1.9424,                 1.8849,                0.33917,                0.33105,                0.29626,                 0.1344,                 1.9528,                 1.7529,                 1.9249,               0.009406,               0.009406,               0.009406
                      8,                  1.999,                 1.8779,                 1.8506,                0.67872,                0.28585,                0.29967,                0.14064,                  1.934,                 1.7217,                 1.9031,               0.009307,               0.009307,               0.009307
                      9,                 1.9691,                  1.826,                 1.8285,                0.39158,                0.38268,                0.33071,                0.15742,                 1.8999,                 1.6578,                  1.877,               0.009208,               0.009208,               0.009208
                     10,                 1.9498,                 1.7827,                 1.8129,                0.53249,                0.33571,                0.33633,                0.16144,                 1.8812,                 1.6604,                  1.863,               0.009109,               0.009109,               0.009109
                     11,                 1.9301,                 1.7528,                 1.7968,                0.43416,                0.40316,                 0.3809,                0.18169,                  1.897,                 1.5855,                 1.8832,                0.00901,                0.00901,                0.00901
